X;Activation1(X);Activation2(X)
-8.000000e+00;5.000000e-01;0.000000e+00
-7.937500e+00;5.156250e-01;3.149414e-02
-7.875000e+00;5.317383e-01;6.347656e-02
-7.812500e+00;5.478516e-01;9.594727e-02
-7.750000e+00;5.644531e-01;1.289063e-01
-7.687500e+00;5.810547e-01;1.623535e-01
-7.625000e+00;5.981445e-01;1.962891e-01
-7.562500e+00;6.152344e-01;2.307129e-01
-7.500000e+00;6.257324e-01;2.507324e-01
-7.437500e+00;6.413574e-01;2.819824e-01
-7.375000e+00;6.572266e-01;3.134766e-01
-7.312500e+00;6.728516e-01;3.447266e-01
-7.250000e+00;6.887207e-01;3.762207e-01
-7.187500e+00;7.043457e-01;4.074707e-01
-7.125000e+00;7.202148e-01;4.389648e-01
-7.062500e+00;7.358398e-01;4.702148e-01
-7.000000e+00;7.812500e-01;5.625000e-01
-6.937500e+00;8.007813e-01;6.018066e-01
-6.875000e+00;8.208008e-01;6.416016e-01
-6.812500e+00;8.408203e-01;6.818848e-01
-6.750000e+00;8.613281e-01;7.226563e-01
-6.687500e+00;8.818359e-01;7.639160e-01
-6.625000e+00;9.028320e-01;8.056641e-01
-6.562500e+00;9.238281e-01;8.479004e-01
-6.500000e+00;8.771973e-01;7.521973e-01
-6.437500e+00;8.928223e-01;7.834473e-01
-6.375000e+00;9.084473e-01;8.146973e-01
-6.312500e+00;9.243164e-01;8.461914e-01
-6.250000e+00;9.399414e-01;8.774414e-01
-6.187500e+00;9.555664e-01;9.086914e-01
-6.125000e+00;9.714355e-01;9.401855e-01
-6.062500e+00;9.870605e-01;9.714355e-01
-6.000000e+00;3.750000e-01;1.250000e+00
-5.937500e+00;3.984375e-01;1.297119e+00
-5.875000e+00;4.223633e-01;1.344727e+00
-5.812500e+00;4.462891e-01;1.392822e+00
-5.750000e+00;4.707031e-01;1.441406e+00
-5.687500e+00;4.951172e-01;1.490479e+00
-5.625000e+00;1.450195e-01;1.540039e+00
-5.562500e+00;1.699219e-01;1.590088e+00
-5.500000e+00;3.779297e-01;1.252930e+00
-5.437500e+00;3.935547e-01;1.284180e+00
-5.375000e+00;4.094238e-01;1.315674e+00
-5.312500e+00;4.250488e-01;1.346924e+00
-5.250000e+00;4.406738e-01;1.378174e+00
-5.187500e+00;4.565430e-01;1.409668e+00
-5.125000e+00;4.721680e-01;1.440918e+00
-5.062500e+00;4.877930e-01;1.472168e+00
-5.000000e+00;1.531250e+00;2.062500e+00
-4.937500e+00;1.558594e+00;2.117432e+00
-4.875000e+00;1.586426e+00;2.172852e+00
-4.812500e+00;1.614258e+00;2.228760e+00
-4.750000e+00;1.642578e+00;2.285156e+00
-4.687500e+00;1.670898e+00;2.342041e+00
-4.625000e+00;1.699707e+00;2.399414e+00
-4.562500e+00;1.728516e+00;2.457275e+00
-4.500000e+00;6.591797e-02;1.753418e+00
-4.437500e+00;8.154297e-02;1.784668e+00
-4.375000e+00;9.716797e-02;1.815918e+00
-4.312500e+00;1.127930e-01;1.847168e+00
-4.250000e+00;3.491211e-02;1.878662e+00
-4.187500e+00;5.053711e-02;1.909912e+00
-4.125000e+00;1.928711e-02;1.941162e+00
-4.062500e+00;1.147461e-02;1.972412e+00
-4.000000e+00;1.250000e+00;3.000000e+00
-3.937500e+00;1.281250e+00;3.062744e+00
